tissue	sample	frag_path	workdir
heart_kanemaru_2023_healthy samp44   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13180618_HCAHeartST13177115.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp45   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13180619_HCAHeartST13177116.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp46   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13189995_HCAHeartST13188800.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp47   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13189996_HCAHeartST13188801.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp48   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13189997_HCAHeartST13188802.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
pancreas_zhang_2021_healthy samp1   frags/Zhang2021/Zhang2021-pancreatic_tissue/fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-ADRUQ_1.fragments.tsv.gz /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/
pancreas_zhang_2021_healthy samp2   frags/Zhang2021/Zhang2021-pancreatic_tissue/fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-IOBHS_1.fragments.tsv.gz /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/
pancreas_zhang_2021_healthy samp3   frags/Zhang2021/Zhang2021-pancreatic_tissue/fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-JF1NS_1.fragments.tsv.gz /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/
pancreas_zhang_2021_healthy samp4   frags/Zhang2021/Zhang2021-pancreatic_tissue/fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-JF1O6_1.fragments.tsv.gz /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/

